"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"Glutamate carboxypeptidase",0.0201163496645159,0.00178719782794114,0.0169860522360622,0.000375136908173594,0.00240236072412628,65,0.0223041919532201,0.000588493594378207,0.00251552938992842,93,0.00347839404904306,-1.5289066282243,153.179613439693,0.128349994027154,0.706320217468745,-0.272382090046958,0.184848682309164,0.142620214767206,0.806324146987683
"Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating)",0.0199892424974486,0.00225959602946676,0.0268991237176328,0.00122013721438197,0.00433259065222213,65,0.0151597556231264,0.000470569640733435,0.00224941961626481,93,0.00488172411856298,2.40475860769496,98.190022328877,0.0180573667577455,0.645302157723903,0.573449450286759,0.21747829568736,0.00921535562805558,0.779732027980302
"Alpha-mannosidase",0.0199698365468855,0.00179587081191925,0.0204108928187395,0.000620937659540408,0.00309077450970666,65,0.0196615714106434,0.000437408995600928,0.0021687144886645,93,0.00377573961008909,0.19845685494143,121.966947333115,0.843018057569417,0.959391436819319,0.0374026791729679,0.182475175658471,0.83785958931145,0.999220610047494
"Maleylacetoacetate isomerase",0.019943899326222,0.00214020154382159,0.0188384640690536,0.000760415034258922,0.00342033519333305,65,0.0207165153661784,0.000704580979243275,0.00275247880314375,93,0.00439031119586167,-0.427771794148682,134.495413638073,0.669501432346465,0.895033315430535,-0.0950304851121777,0.221156088768069,0.66800775544384,0.979224282062803
"3-oxoadipate CoA-transferase",0.019922147038997,0.00344589139315224,0.0167062087081931,0.000825360425845469,0.00356340465079605,65,0.0221698458723546,0.00261505907364531,0.00530272710691203,93,0.00638880015931744,-0.855189867880481,149.907458202811,0.393810779873347,0.745982068684816,-0.282952642996683,0.355383591409408,0.42713190500362,0.86490119461461
"Pyruvate dehydrogenase (quinone)",0.0198693811743692,0.00225314260957037,0.0188715284407661,0.000751751719928288,0.00340079565334641,65,0.0205668051279628,0.000844666887131051,0.00301370862005112,93,0.00454399061645051,-0.37308102729336,142.747980509151,0.709641560375351,0.917990058377185,-0.0860240199853951,0.232970602951303,0.712443300507345,0.999220610047494
"Tetrahydrodipicolinate N-acetyltransferase",0.0198327485158442,0.00196673605803905,0.0199859033461479,0.000880807497341842,0.0036811526149414,65,0.0197257048172449,0.000430180392248155,0.00215071979011018,93,0.00426338834614693,0.0610309237107476,106.516169391161,0.951448949016306,0.990493569962849,0.0131045971427423,0.201704853338619,0.948281727119466,0.999220610047494
"Homogentisate 1,2-dioxygenase",0.0193239245079079,0.00206085420420746,0.018282169957632,0.00073834414819026,0.00337033243781509,65,0.0200520325269179,0.000630219455933687,0.00260318137854617,93,0.00425860235652475,-0.415597048307239,130.764032803275,0.678386080571962,0.90138791598311,-0.0924042558935364,0.219918635757389,0.67493597159209,0.984010099272881
"D-serine ammonia-lyase",0.0193144163546008,0.00254128670324776,0.0233561977719909,0.00137022415269095,0.00459133657880369,65,0.0164895153639518,0.000768502632926833,0.0028746250488118,93,0.00541699554652919,1.26761824872438,112.034206845429,0.207562617204178,0.706320217468745,0.348137631656158,0.25995345338681,0.182443597074803,0.806324146987683
"Gluconate 2-dehydrogenase",0.0192025337714275,0.00222499110001772,0.0188570592284514,0.000759193340181647,0.00341758650823298,65,0.0194439944735075,0.000806550732756577,0.00294492589452846,93,0.0045113729690107,-0.130101246136787,140.457479544457,0.896672462652315,0.971630213863886,-0.0306509162906837,0.236846163279451,0.89719775665336,0.999220610047494
"Diaminopropionate ammonia-lyase",0.0191833478117016,0.00193185412784361,0.0211527554438144,0.000752690233951901,0.00340291782932033,65,0.0178068801118378,0.000478010914018959,0.00226713526311932,93,0.00408897934139869,0.818266626613014,117.341647260476,0.414863534716027,0.763740325809309,0.172185274245953,0.201262353727565,0.393571834555975,0.860697126150653
"Mannonate dehydratase",0.0189609823066405,0.0020231002373401,0.0190210012805599,0.000928869783223251,0.0037802518907185,65,0.018919033561428,0.000457405119840715,0.00221773186430262,93,0.00438276613330257,0.0232656080727413,106.831922024431,0.981481805726882,0.994568835531447,0.00537522968236134,0.217317660448304,0.980298398889612,0.999220610047494
"Glutamate dehydrogenase (NAD(P)(+))",0.0188179464793379,0.00164453136097735,0.0181789391988116,0.000395972335495285,0.00246817383596514,65,0.0192645644711035,0.000453261888269006,0.00220766477184106,93,0.00331144467406159,-0.327840377583729,143.482377344191,0.743510243840388,0.92675746195671,-0.0580036334333506,0.178991617255349,0.74632833123657,0.999220610047494
"S-methyl-5'-thioadenosine phosphorylase",0.0188107664970069,0.00164818371627406,0.0187801797202987,0.000469814357457111,0.00268847785775666,65,0.0188321443516954,0.000405625152384663,0.00208843500696807,93,0.00340433164805921,-0.0152642682231927,131.287537915821,0.987844521090877,0.996603340753527,-0.00276317209362307,0.17867879640746,0.987681393675301,0.999220610047494
"Nitrite reductase (NO-forming)",0.018701744417922,0.00187877334419052,0.0190191428187268,0.00054287368222123,0.00288996588274041,65,0.0184799068259617,0.000573966437685352,0.0024842870457435,93,0.00381098214756413,0.14149528176345,140.255666546736,0.88768172039944,0.968866449076277,0.0287619628870267,0.204354131932853,0.888252423978446,0.999220610047494
"Sucrose phosphorylase",0.0186347364309035,0.00168422782797398,0.0195097766310572,0.000618683420247633,0.00308515906645803,65,0.0180231491942369,0.000333532443066451,0.00189377146339078,93,0.00362002442269406,0.410667792045995,110.410886252354,0.682112033124991,0.905200777166497,0.079258708292826,0.182038256461761,0.663876898670857,0.976642841886006
"Beta-alanine--pyruvate transaminase",0.0185634029341532,0.00208751095098748,0.0173661875054629,0.000717277022067623,0.00332190173074591,65,0.0194001664058184,0.000674273298454773,0.00269262892375074,93,0.00427612928122522,-0.47565888835166,135.143008987202,0.635085380345197,0.883167991932459,-0.110756574797652,0.232211548450464,0.634055155247975,0.973493201911932
"2-hydroxy-3-oxopropionate reductase",0.0184000905667813,0.00185666242783911,0.0153023666940559,0.000439856560046426,0.00260135041866994,65,0.0205651663918044,0.000611963402302497,0.00256520011649408,93,0.00365339234662464,-1.44052409334322,150.190507754872,0.151800584611882,0.706320217468745,-0.295591179283514,0.211754093612758,0.16472289212004,0.806324146987683
