"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"L-arabinose isomerase",0.962341772151899,0.294234517354963,0.616153846153846,2.50508653846154,0.196315544212394,65,1.20430107526882,21.4564486909771,0.480327494584182,93,0.518897191120674,-1.13345618203239,120.471166424829,0.259273332929418,0.579333573480432,-0.670157974523191,0.642421589151949,0.298481241907569,0.634608817661025
"L-ribulose-5-phosphate 4-epimerase",0.962341772151899,0.294234517354963,0.616153846153846,2.50508653846154,0.196315544212394,65,1.20430107526882,21.4564486909771,0.480327494584182,93,0.518897191120674,-1.13345618203239,120.471166424829,0.259273332929418,0.579333573480432,-0.670157974523191,0.642421589151949,0.298481241907569,0.634608817661025
"Levanase",0.956595602931379,0.149489058525401,0.83417004048583,1.9141863946303,0.171607171924284,65,1.04216185625354,4.67582710744529,0.224226918171626,93,0.282359225612686,-0.736621285585372,154.929766025886,0.462466635387561,0.579333573480432,-0.22261527549954,0.321210700010566,0.489308288262076,0.634608817661025
"Type II site-specific deoxyribonuclease",0.956399437412096,0.216832971797853,0.770940170940171,1.69015313390313,0.161252460155503,65,1.08602150537634,11.4600453656087,0.351036029851434,93,0.386301242762768,-0.815636346864325,126.80636313507,0.416237564243984,0.579333573480432,-0.342665546458297,0.46116837889323,0.458576278002939,0.634608817661025
"Triose-phosphate isomerase",0.955674378000873,0.141369931371204,0.824084880636605,2.22078793560779,0.184840385847141,65,1.04764553207267,3.82300701706989,0.202750098234464,93,0.274360293362951,-0.81484331677806,154.78197507953,0.416413987290892,0.579333573480432,-0.240027039826785,0.307003756942112,0.435495124512138,0.634608817661025
"Cu(2+)-exporting ATPase",0.954757747708424,0.131689532467023,0.831936339522546,1.80420640492088,0.166604386539393,65,1.04060066740823,3.40275968800917,0.191282026990413,93,0.253664809273435,-0.822598643001984,155.713033043998,0.411994186714618,0.579333573480432,-0.223797467327833,0.285019054895094,0.433526146393844,0.634608817661025
"Formate C-acetyltransferase",0.954162609542356,0.136478189578304,0.836213017751479,1.95386690657715,0.173376731052404,65,1.03660049627792,3.64630550968074,0.198009055665642,93,0.263186392117862,-0.761389967444431,155.638413967543,0.447576302607378,0.579333573480432,-0.214818497960984,0.295404589701585,0.468192771960425,0.634608817661025
"Methylenetetrahydrofolate reductase (NAD(P)H)",0.950744601638124,0.141432318920715,0.807420814479638,1.69554311951025,0.16150937669899,65,1.05091714104997,4.18927974621909,0.212240473935933,93,0.266704513531821,-0.91298164903864,154.787394308815,0.362672028608079,0.579333573480432,-0.263573541843614,0.306721496780062,0.391479631537981,0.634608817661025
"Maltose O-acetyltransferase",0.950024342745862,0.1510265851615,0.824378698224852,2.1487519771279,0.18181782840262,65,1.037841191067,4.63627517697536,0.223276557788317,93,0.287941216193244,-0.741340526598617,155.914197682318,0.459602144844675,0.579333573480432,-0.230268047346573,0.32786585642834,0.483523768654145,0.634608817661025
"Thymidylate synthase",0.949746835443038,0.141764344312834,0.855384615384615,2.65240961538462,0.202005697382891,65,1.01569892473118,3.56295521271622,0.195732844390748,93,0.28127859525467,-0.569948485420365,149.137785620196,0.569570207442,0.668303019182308,-0.171781039953863,0.308960041979509,0.579009077507645,0.704146331932719
"Thiamine diphosphokinase",0.947590068159688,0.140987751912742,0.839171597633136,2.06206772018662,0.178112657529166,65,1.02336641852771,3.91100020470772,0.20507014810064,93,0.271620846795897,-0.67813212081244,155.749194028869,0.498694172445788,0.599053788062471,-0.198437670264606,0.306716544310368,0.51859951172572,0.642974555223109
"Cystathionine beta-lyase",0.937898734177215,0.143702024918382,0.794584615384615,2.27347621538462,0.187020205217948,65,1.03806451612903,3.9617396914446,0.206396103453795,93,0.278524520788876,-0.87417761299723,154.943735722147,0.383374461745051,0.579333573480432,-0.267293734327358,0.319028198586517,0.403403888028346,0.634608817661025
